Basis Size,Error
1,0.9942390966404888
2,0.9578421722345402
3,0.8838570660243589
4,0.42761351774183937
5,0.8869796169277019
6,0.9815077514153095
7,0.9572204904156026
8,0.15074813830877629
9,0.36195462227349856
10,0.6452736973757391
11,0.7566114852793595
12,0.8904680709579887
13,0.07412592522652652
14,0.31437277927360907
15,0.4795883582440701
16,0.4858490213809891
17,0.596963148465547
18,0.5282365122964717
19,0.03875776450645992
20,0.43140666582784354
21,0.6279702794074069
22,0.21274706391851678
23,0.24430518093191944
24,0.012532588628475425
25,0.09158470970678133
26,0.0479356794126609
27,0.1038725620305454
28,0.1843386466630783
29,0.06816841706393219
30,0.11412058038518615
31,0.08669373217938459
32,0.27403408070835467
33,0.11498192368512337
34,0.06460957367427608
35,0.27819891510771594
36,0.34500284204177384
37,0.12482201694668889
38,0.10554138638652864
39,0.24518242693938355
40,0.03090589517544417
