Basis Size	Average Error
1	0.878791007
2	0.816558662
3	0.818067349
4	0.798474292
5	0.727608584
6	0.679471769
7	0.637632868
8	0.617446678
9	0.563622185
10	0.459451486
11	0.362288596
12	0.433889222
13	0.389436336
14	0.368111452
15	0.29980313
16	0.296359989
17	0.311823465
18	0.251477842
19	0.252138556
20	0.251170454
21	0.234575955
22	0.146458983
23	0.172938582
24	0.169209315
25	0.228619883
26	0.159472434
27	0.19082788
28	0.174787275
29	0.180978308
30	0.162244454
31	0.182471711
32	0.198214527
33	0.100896261
34	0.123387195
35	0.138436021
36	0.08778369
37	0.172131772
38	0.083623148
39	0.097670532
40	0.097425032
41	0.094227319
42	0.09232543
43	0.096456334
44	0.047009539
45	0.057030874
46	0.062730458
47	0.078574947
48	0.053637286
49	0.085701221
50	0.093109175
51	0.090904184
52	0.073659321
53	0.042371214
54	0.053369012
55	0.055985606
56	0.096348093
57	0.051156852
58	0.045466123
59	0.048728612
60	0.050981288
61	0.04651588
62	0.057850582
63	0.038014011
64	0.038624564
65	0.055646351
66	0.050039774
67	0.047861487
68	0.057374283
69	0.056528988
70	0.039825412
71	0.067561109
72	0.054368361
73	0.040028644
74	0.051264621
75	0.045138974
76	0.029170973
77	0.023460595
78	0.035384891
79	0.049306646
80	0.032290417
81	0.049793706
82	0.030337438
83	0.035962712
84	0.054778828
85	0.027329382
86	0.056984428
87	0.03705867
88	0.035167148
89	0.033164578
90	0.041733869
91	0.041299846
92	0.058895738
93	0.024418865
94	0.043488925
95	0.030152148
96	0.023634698
97	0.029711143
98	0.029763967
99	0.027714608
100	0.030845735
101	0.026668124
102	0.03227
103	0.030224043
104	0.023113905
105	0.035540333
106	0.0332575
107	0.020863101
108	0.018479412
109	0.022968041
110	0.018695226
111	0.020854171
112	0.034630058
113	0.025865524
114	0.022585087
115	0.022388369
116	0.03962233
117	0.025323035
118	0.024991907
119	0.025457971
120	0.02427164
121	0.039391597
122	0.032087081
123	0.025469956
124	0.03548907
125	0.02453084
126	0.015646008
127	0.014085004
128	0.02695944
129	0.027563401
130	0.026773505
131	0.029319429
132	0.028900369
133	0.019256025
134	0.028206437
135	0.020442332
136	0.027008547
137	0.019355157
138	0.017595003
139	0.012878512
140	0.01785827
141	0.018946418
142	0.025678459
143	0.013347086
144	0.022086398
145	0.014358915
146	0.0206792
147	0.022363626
148	0.007476141
149	0.013407943
150	0.012286512
151	0.022299637
152	0.018416311
153	0.017268635
154	0.013354739
155	0.020343761
156	0.016319871
157	0.022379974
158	0.016109005
159	0.020256371
160	0.015284743
161	0.020422914
162	0.015728882
163	0.0175012
164	0.02064254
165	0.015142621
166	0.020072612
167	0.014225574
168	0.013491857
169	0.014534699
170	0.013167724
171	0.012902329
172	0.017484688
173	0.016375742
174	0.008784505
175	0.015145933
176	0.011887014
177	0.015385457
178	0.021977284
179	0.012434752
180	0.012719159
181	0.017535709
182	0.010942709
183	0.012130301
184	0.016200561
185	0.012489172
186	0.011098348
187	0.014353073
188	0.011299062
189	0.018016944
190	0.017658128
191	0.014274482
192	0.012061631
193	0.014600708
194	0.011845472
195	0.014744658
196	0.010594555
197	0.010295962
198	0.008472707
199	0.012024897
200	0.024126889
201	0.019877851
202	0.008373869
203	0.009712905
