time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,2,1,6,1,1.0000000590166773
1,2,1,6,1,1.0000000372000946
2,2,1,6,1,1.0000000553412507
3,2,1,6,1,0.9999118762978959
4,2,1,6,1,0.9791515643128054
5,2,1,6,1,0.9157543447345919
6,2,1,6,1,0.9975981855223723
7,2,1,6,1,0.9999525223782937
8,2,1,6,1,1.00000003242433
9,2,1,6,1,0.9794418857696667
0,2,1,6,5,1.0000000218815093
1,2,1,6,5,0.9407935952121921
2,2,1,6,5,1.0000000214993379
3,2,1,6,5,0.9995147717961579
4,2,1,6,5,0.9716453817112864
5,2,1,6,5,0.99482451541975
6,2,1,6,5,0.9941648939890619
7,2,1,6,5,0.8871950537494907
8,2,1,6,5,1.0000000338047814
9,2,1,6,5,0.8740804780059287
0,2,1,6,10,0.9966572569664234
1,2,1,6,10,0.9462745611089203
2,2,1,6,10,1.0000000022466282
3,2,1,6,10,0.895220388297493
4,2,1,6,10,0.9867573775763089
5,2,1,6,10,1.0000000133989049
6,2,1,6,10,0.994211332802168
7,2,1,6,10,0.9179538277191207
8,2,1,6,10,0.8551064929922508
9,2,1,6,10,0.9485751288886343
0,2,1,6,50,0.9678169615684412
1,2,1,6,50,0.7329782320054433
2,2,1,6,50,0.9929542155920515
3,2,1,6,50,0.9664018160596021
4,2,1,6,50,0.936918396880799
5,2,1,6,50,0.957887452400644
6,2,1,6,50,0.9993095701599698
7,2,1,6,50,0.917426489772824
8,2,1,6,50,0.9846060181977103
9,2,1,6,50,0.8924000054930384
0,2,1,6,100,0.976202589550715
1,2,1,6,100,0.9790236779875627
2,2,1,6,100,0.68290725372967
3,2,1,6,100,0.9500897796789579
4,2,1,6,100,0.8815900465822505
5,2,1,6,100,0.9998675285962784
6,2,1,6,100,0.9480561561113997
7,2,1,6,100,0.9193532150053114
8,2,1,6,100,0.8834063248104269
9,2,1,6,100,0.9876276227275257
0,2,10,6,1,0.7685089524297571
1,2,10,6,1,0.892848126184306
2,2,10,6,1,0.914582808743998
3,2,10,6,1,0.869303721630713
4,2,10,6,1,0.6855850561504592
5,2,10,6,1,0.7941073107248022
6,2,10,6,1,0.8168456725716285
7,2,10,6,1,0.7185810869029313
8,2,10,6,1,0.9004426905042656
9,2,10,6,1,0.805584113670624
0,2,10,6,5,0.7632652197588929
1,2,10,6,5,0.4239350496423084
2,2,10,6,5,0.8042162954661763
3,2,10,6,5,0.6818907610498719
4,2,10,6,5,0.5918134393471437
5,2,10,6,5,0.8875134199271923
6,2,10,6,5,0.7808490221280824
7,2,10,6,5,0.6508834842701542
8,2,10,6,5,0.6403886144820501
9,2,10,6,5,0.7320107621131078
0,2,10,6,10,0.44390178113602147
1,2,10,6,10,0.615473694993446
2,2,10,6,10,0.5479323618814559
3,2,10,6,10,0.6450870734421064
4,2,10,6,10,0.6970798587127259
5,2,10,6,10,0.5957835485752523
6,2,10,6,10,0.5728615897856333
7,2,10,6,10,0.5244536268161218
8,2,10,6,10,0.6976388986116456
9,2,10,6,10,0.7325361443115387
0,2,10,6,50,0.6227944069154748
1,2,10,6,50,0.6693522858278392
2,2,10,6,50,0.48813808233226497
3,2,10,6,50,0.5037040894345491
4,2,10,6,50,0.5065466124351221
5,2,10,6,50,0.3976147699112826
6,2,10,6,50,0.5449929737573559
7,2,10,6,50,0.4435438786006043
8,2,10,6,50,0.46661358999789193
9,2,10,6,50,0.5597436952935595
0,2,10,6,100,0.41047566395619056
1,2,10,6,100,0.6502781530595514
2,2,10,6,100,0.6580919152285161
3,2,10,6,100,0.6790736595343363
4,2,10,6,100,0.32522291782853474
5,2,10,6,100,0.3782229154700381
6,2,10,6,100,0.4129751756348332
7,2,10,6,100,0.492610570808226
8,2,10,6,100,0.5926169664967438
9,2,10,6,100,0.3888709855252179
0,2,50,6,1,0.3700804076219143
1,2,50,6,1,0.14932184450129415
2,2,50,6,1,0.10028650813186277
3,2,50,6,1,0.30655720510254036
4,2,50,6,1,0.3477367989842022
5,2,50,6,1,0.24627054490108766
6,2,50,6,1,0.24684884421831615
7,2,50,6,1,0.40421019010668907
8,2,50,6,1,0.13762247740490974
9,2,50,6,1,0.21085981239560767
0,2,50,6,5,0.2178551735045496
1,2,50,6,5,0.1462999281729002
2,2,50,6,5,0.11878633816418517
3,2,50,6,5,0.05104855669008247
4,2,50,6,5,0.36608934121034253
5,2,50,6,5,0.5055479275220017
6,2,50,6,5,0.1597808649110123
7,2,50,6,5,0.22289295949307236
8,2,50,6,5,0.2771735786322121
9,2,50,6,5,0.1584968617309053
0,2,50,6,10,0.12268609786193094
1,2,50,6,10,0.30989703881379027
2,2,50,6,10,0.08089792076476003
3,2,50,6,10,0.0041211039451948105
4,2,50,6,10,0.024948842381375517
5,2,50,6,10,0.04702613580214744
6,2,50,6,10,0.14847735457583422
7,2,50,6,10,0.06792215584901154
8,2,50,6,10,0.10246381954916807
9,2,50,6,10,0.0638359922288036
0,2,50,6,50,0.07224639989316041
1,2,50,6,50,0.0015499303681756986
2,2,50,6,50,0.033030391782934765
3,2,50,6,50,0.018735946837174156
4,2,50,6,50,0.06142539431939793
5,2,50,6,50,0.040610118931385907
6,2,50,6,50,0.02448236091562954
7,2,50,6,50,0.011947751414415831
8,2,50,6,50,0.009206859490416238
9,2,50,6,50,0.01993332354550073
0,2,50,6,100,0.002770209017330492
1,2,50,6,100,0.02835299058679846
2,2,50,6,100,0.03297798950427146
3,2,50,6,100,0.05124124865744173
4,2,50,6,100,0.005665210809624389
5,2,50,6,100,0.03662700721278157
6,2,50,6,100,0.011583743111085256
7,2,50,6,100,0.01861176636076669
8,2,50,6,100,0.0018988080891961614
9,2,50,6,100,0.025763440774398166
0,2,100,6,1,0.11336318115544998
1,2,100,6,1,0.20783178161089683
2,2,100,6,1,0.20188831321688663
3,2,100,6,1,0.14058823730216347
4,2,100,6,1,0.10130281659887781
5,2,100,6,1,0.08439072696662196
6,2,100,6,1,0.07702822200674052
7,2,100,6,1,0.24473590870876297
8,2,100,6,1,0.16721260739307922
9,2,100,6,1,0.1839977572163345
0,2,100,6,5,0.11009125185963069
1,2,100,6,5,0.0471437475234364
2,2,100,6,5,0.07186232190615098
3,2,100,6,5,0.02830056350087689
4,2,100,6,5,0.03813779887751405
5,2,100,6,5,0.031516107151570306
6,2,100,6,5,0.01738356117997679
7,2,100,6,5,0.02198041299219378
8,2,100,6,5,0.04414134029106392
9,2,100,6,5,0.015336568219530458
0,2,100,6,10,0.006858021354852644
1,2,100,6,10,0.005250485541797157
2,2,100,6,10,0.03159908358478604
3,2,100,6,10,0.004783776571834966
4,2,100,6,10,0.01458936665148871
5,2,100,6,10,0.03625229056526694
6,2,100,6,10,0.0009523260657291385
7,2,100,6,10,0.03653614293633125
8,2,100,6,10,0.0014336529073693221
9,2,100,6,10,0.0040359214734412355
0,2,100,6,50,2.0843699391054695e-10
1,2,100,6,50,2.0048403267549675e-10
2,2,100,6,50,5.21325923899944e-12
3,2,100,6,50,1.9195424472760943e-11
4,2,100,6,50,1.859304383540486e-12
5,2,100,6,50,1.4714673554447826e-10
6,2,100,6,50,7.863249742927389e-11
7,2,100,6,50,4.340015630338837e-10
8,2,100,6,50,4.9886211329974766e-11
9,2,100,6,50,5.1067113127829266e-11
0,2,100,6,100,9.861120590777707e-13
1,2,100,6,100,4.415244806087322e-11
2,2,100,6,100,1.570095952376667e-11
3,2,100,6,100,8.328561649405232e-12
4,2,100,6,100,3.68040395084724e-12
5,2,100,6,100,2.3678882573826154e-10
6,2,100,6,100,7.367809041553112e-11
7,2,100,6,100,9.856334801899256e-11
8,2,100,6,100,2.057186827970514e-11
9,2,100,6,100,2.3190639385232934e-10
0,2,200,6,1,0.06956699859558393
1,2,200,6,1,0.07847453811934649
2,2,200,6,1,0.03463740666785996
3,2,200,6,1,0.02382589209499978
4,2,200,6,1,0.08266237380108991
5,2,200,6,1,0.0399797600163774
6,2,200,6,1,0.07455643266697819
7,2,200,6,1,0.05019423006907652
8,2,200,6,1,0.1091297103286973
9,2,200,6,1,0.0360210997837665
0,2,200,6,5,0.03481714152183375
1,2,200,6,5,0.008492614837730656
2,2,200,6,5,0.018389559418785242
