time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,4,1,4,1,0.9873342006213883
1,4,1,4,1,0.9548447912529062
2,4,1,4,1,0.9947635152563636
3,4,1,4,1,0.9963461948362745
4,4,1,4,1,1.0000000090883452
5,4,1,4,1,1.0000000046567674
6,4,1,4,1,1.0000000063881402
7,4,1,4,1,0.9989238040704784
8,4,1,4,1,0.9997178135877909
9,4,1,4,1,1.0000000093098018
0,4,1,4,4,0.997290183044853
1,4,1,4,4,0.9993537330124631
2,4,1,4,4,0.9746802544868719
3,4,1,4,4,1.0000000012804957
4,4,1,4,4,0.9303689702243056
5,4,1,4,4,0.9727480195299244
6,4,1,4,4,0.8570526423336732
7,4,1,4,4,0.9209161550071752
8,4,1,4,4,1.0000000060615126
9,4,1,4,4,0.9954256498586449
0,4,1,4,16,1.0000000044797337
1,4,1,4,16,1.0000000044756252
2,4,1,4,16,0.9821225379726007
3,4,1,4,16,0.9357111012254778
4,4,1,4,16,0.9999940032105782
5,4,1,4,16,0.9878099161649004
6,4,1,4,16,0.9789482229700662
7,4,1,4,16,0.9569064152292346
8,4,1,4,16,0.9244725165641791
9,4,1,4,16,0.9982181512907019
0,4,1,4,256,0.9165225797698796
1,4,1,4,256,0.9908088231755412
2,4,1,4,256,0.9423732858234198
3,4,1,4,256,0.6978906316542758
4,4,1,4,256,0.9637671377379743
5,4,1,4,256,0.9894735914124463
6,4,1,4,256,0.9453458143205328
7,4,1,4,256,0.9448188690656208
8,4,1,4,256,0.9790014144875616
9,4,1,4,256,0.9315998889299587
0,4,1,4,1024,0.9519882908937113
1,4,1,4,1024,0.9839950405569385
2,4,1,4,1024,0.9177809672308143
3,4,1,4,1024,0.9817418181132631
4,4,1,4,1024,0.9705544403161631
5,4,1,4,1024,0.9838492544950536
6,4,1,4,1024,0.9841407086522259
7,4,1,4,1024,0.9633788605920517
8,4,1,4,1024,0.967112203928656
9,4,1,4,1024,0.978916958521025
0,4,4,4,1,0.9913233784213044
1,4,4,4,1,0.8140088985866513
2,4,4,4,1,0.9652041234317611
3,4,4,4,1,0.9905079920345081
4,4,4,4,1,0.9833627968452792
5,4,4,4,1,0.9666122080466673
6,4,4,4,1,0.9980954958641968
7,4,4,4,1,0.9399619076417436
8,4,4,4,1,0.9532443354801114
