time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,4,1,4,1,0.9772849029312769
1,4,1,4,1,0.9804135081534964
2,4,1,4,1,0.9886428581871534
3,4,1,4,1,1.0000000001593823
4,4,1,4,1,1.0000000001417237
0,4,1,4,4,0.9753220968262206
1,4,1,4,4,0.9973847036136584
2,4,1,4,4,1.000000001072769
3,4,1,4,4,0.9632912440900648
4,4,1,4,4,0.9872554296685412
0,4,1,4,16,1.0000000043434456
1,4,1,4,16,0.9970317659385267
2,4,1,4,16,0.8659508169550673
3,4,1,4,16,0.978593196798153
4,4,1,4,16,0.9998858757108245
0,4,1,4,256,0.9779025278215848
1,4,1,4,256,0.9543017670401853
2,4,1,4,256,0.9694490709312394
3,4,1,4,256,0.9155310194454617
4,4,1,4,256,0.988065731451708
0,4,1,4,1024,0.9769583736493845
1,4,1,4,1024,0.9734432424630057
2,4,1,4,1024,0.975975427187852
3,4,1,4,1024,0.9476937795748382
4,4,1,4,1024,0.9695731664948138
0,4,4,4,1,0.9702258038801257
1,4,4,4,1,0.9961073711511129
2,4,4,4,1,0.8571715615039839
3,4,4,4,1,0.9988123222048618
4,4,4,4,1,0.9004964112486687
0,4,4,4,4,0.961356339533204
1,4,4,4,4,0.9722319927668132
2,4,4,4,4,0.9438418245087692
3,4,4,4,4,0.7980240439514149
4,4,4,4,4,0.9579777240142279
0,4,4,4,16,0.9458436358754541
1,4,4,4,16,0.8368479979740231
2,4,4,4,16,0.9201802363183812
3,4,4,4,16,0.868677704002866
4,4,4,4,16,0.9245787694244813
0,4,4,4,256,0.8382280899965341
1,4,4,4,256,0.8879461593938422
2,4,4,4,256,0.8194512274723262
3,4,4,4,256,0.8631874657456332
4,4,4,4,256,0.8994428039345688
0,4,4,4,1024,0.8400407425643465
1,4,4,4,1024,0.8783328053968534
2,4,4,4,1024,0.8801434465802246
3,4,4,4,1024,0.8762291201222332
4,4,4,4,1024,0.8335064536594177
0,4,15,4,1,0.7651663981606237
1,4,15,4,1,0.9030178018150361
2,4,15,4,1,0.9526052846856697
3,4,15,4,1,0.8933549997375829
4,4,15,4,1,0.8221495329430506
0,4,15,4,4,0.7101802943604463
1,4,15,4,4,0.8616448701805558
2,4,15,4,4,0.7132612695129097
3,4,15,4,4,0.7978002847487902
4,4,15,4,4,0.7529292247778259
0,4,15,4,16,0.660637912674169
1,4,15,4,16,0.4097123864363751
2,4,15,4,16,0.7250387647898069
3,4,15,4,16,0.6297529384562197
4,4,15,4,16,0.737183407838079
0,4,15,4,256,0.44696642634119615
1,4,15,4,256,0.5110471555835796
2,4,15,4,256,0.5802369022597933
3,4,15,4,256,0.4726959276706546
4,4,15,4,256,0.4849302463416371
0,4,15,4,1024,0.4693342496256865
1,4,15,4,1024,0.4840995485259708
2,4,15,4,1024,0.508102365664477
3,4,15,4,1024,0.47718768325480887
4,4,15,4,1024,0.45461325963771065
